season,year,round,race_name,driver,driverId,constructor,grid_position,finishing_position,points,num_pit_stops,avg_lap_time,avg_tyre_life,track_temp_mid,air_temp_mid,humidity_mid,rainfall_mid,qualiPosition,Q1_time,Q2_time,Q3_time,laps_total,laps_count,lapTime_mean_sec,lapTime_best_sec,lapTime_std_sec,pit_stop_count,pit_total_duration_sec,pit_avg_duration_sec,pit_min_duration_sec,pit_first_lap,pit_last_lap,weather_hours,weather_airTemp_mean,weather_airTemp_min,weather_airTemp_max,weather_humidity_mean,weather_precip_total,weather_pressure_mean,weather_wind_mean,Driver.code,session_type,made_Q2,made_Q3,eliminated_in_Q1,eliminated_in_Q2,eliminated_in_Q3,qualifying_round_reached,pitted,multi_stop,one_stop
2024,2024,3,Australian Grand Prix,TSU,tsunoda,RB,8,7,6,2,84.223,29.0,39.0,20.8,43,False,8.0,1:17.356,1:16.791,1:16.788,5.0,5.0,85.4118,83.203,4.418315369,2.0,36.058,18.029,17.535,9.0,36.0,24.0,16.31666667,12.1,21.5,66.66666667,0.0,1021.1875,14.15833333,TSU,race,True,True,False,False,True,3,True,True,False
2024,2024,3,Australian Grand Prix,ALO,alonso,Aston Martin,10,8,4,2,83.743851,19.33333333,39.0,20.8,43,False,10.0,1:16.991,1:16.710,1:17.552,5.0,5.0,85.7602,82.978,4.912016612,2.0,36.155,18.0775,17.995,17.0,41.0,24.0,16.31666667,12.1,21.5,66.66666667,0.0,1021.1875,14.15833333,ALO,race,True,True,False,False,True,3,True,True,False
2024,2024,3,Australian Grand Prix,HUL,hulkenberg,Haas F1 Team,16,9,2,2,84.154259,19.33333333,39.0,20.8,43,False,16.0,1:17.976,,,5.0,5.0,86.6798,83.576,5.744300889,2.0,36.465,18.2325,18.145,17.0,35.0,24.0,16.31666667,12.1,21.5,66.66666667,0.0,1021.1875,14.15833333,HUL,race,False,False,True,False,False,1,True,True,False
2024,2024,3,Australian Grand Prix,MAG,kevin_magnussen,Haas F1 Team,14,10,1,2,84.087905,28.5,39.0,20.8,43,False,14.0,1:17.709,1:17.427,,5.0,5.0,86.154,83.529,5.214585314,2.0,36.452,18.226,18.151,7.0,33.0,24.0,16.31666667,12.1,21.5,66.66666667,0.0,1021.1875,14.15833333,MAG,race,True,False,False,True,False,2,True,True,False
2024,2024,3,Australian Grand Prix,ALB,albon,Williams,12,11,0,2,84.130094,28.5,39.0,20.8,43,False,12.0,1:17.130,1:17.167,,5.0,5.0,86.2496,83.438,5.328494985,2.0,35.5,17.75,17.745,6.0,27.0,24.0,16.31666667,12.1,21.5,66.66666667,0.0,1021.1875,14.15833333,ALB,race,True,False,False,True,False,2,True,True,False
2024,2024,3,Australian Grand Prix,RIC,ricciardo,RB,18,12,0,2,84.170301,28.5,39.0,20.8,43,False,18.0,1:18.085,,,5.0,5.0,89.8424,83.84,7.672228705,2.0,36.016,18.008,17.751,5.0,29.0,24.0,16.31666667,12.1,21.5,66.66666667,0.0,1021.1875,14.15833333,RIC,race,False,False,True,False,False,1,True,True,False
2024,2024,3,Australian Grand Prix,GAS,gasly,Alpine,17,13,0,2,84.195377,28.5,39.0,20.8,43,False,17.0,1:17.982,,,5.0,5.0,86.806,83.7,5.882990609,2.0,37.998,18.999,17.682,17.0,41.0,24.0,16.31666667,12.1,21.5,66.66666667,0.0,1021.1875,14.15833333,GAS,race,False,False,True,False,False,1,True,True,False
2024,2024,3,Australian Grand Prix,BOT,bottas,Kick Sauber,13,14,0,2,84.262792,28.5,39.0,20.8,43,False,13.0,1:17.543,1:17.340,,5.0,5.0,85.9288,83.272,4.954032872,2.0,65.907,32.9535,18.938,8.0,36.0,24.0,16.31666667,12.1,21.5,66.66666667,0.0,1021.1875,14.15833333,BOT,race,True,False,False,True,False,2,True,True,False
2024,2024,3,Australian Grand Prix,ZHO,zhou,Kick Sauber,19,15,0,2,84.176365,28.5,39.0,20.8,43,False,19.0,1:18.188,,,5.0,5.0,87.0182,83.912,6.527975084,2.0,55.898,27.949,19.032,6.0,35.0,24.0,16.31666667,12.1,21.5,66.66666667,0.0,1021.1875,14.15833333,ZHO,race,False,False,True,False,False,1,True,True,False
2024,2024,3,Australian Grand Prix,OCO,ocon,Alpine,15,16,0,3,84.103921,28.5,39.0,20.8,43,False,15.0,1:17.617,1:17.697,,5.0,5.0,86.3796,83.574,5.5549318,3.0,66.92,22.30666667,18.007,9.0,42.0,24.0,16.31666667,12.1,21.5,66.66666667,0.0,1021.1875,14.15833333,OCO,race,True,False,False,True,False,2,True,True,False
